ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2021-01-31 15:26:25,2021-01-31 15:26:25,0.132,2607:f8b0:4004:80a::200e,2601:246:d00:3510:4d5:6b14:15db:7d3b,443,53103,UDP,........,0,0,9,3183,6,2624,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:44,2021-01-31 15:26:44,0.019,2607:f8b0:4009:804::2002,2601:246:d00:3510:4d5:6b14:15db:7d3b,443,52496,TCP,...A....,0,0,1,32,1,20,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,   18.443,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:34,2021-01-31 15:26:34,0.004,2601:246:d00:3510:4d5:6b14:15db:7d3b,2603:1036:304:2852::2,52471,443,TCP,...AP...,0,0,3,60,3,1221,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    2.158,    0.039,    0.045,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:49,2021-01-31 15:26:49,0.002,52.96.79.18,10.0.0.182,443,51382,TCP,...AP...,0,0,3,1221,3,60,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.800,    0.044,    0.022,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:51,2021-01-31 15:26:51,0.003,2601:246:d00:3510:4d5:6b14:15db:7d3b,2603:1036:304:2851::2,52280,443,TCP,...AP...,0,0,4,80,4,1276,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    1.691,    0.115,    0.151,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:30,2021-01-31 15:26:51,20.842,34.203.91.157,10.0.0.182,443,51465,TCP,...AP...,0,0,7,1468,9,572,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.050,   45.202,  708.890,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:29,2021-01-31 15:26:51,21.666,34.203.91.157,10.0.0.182,443,51457,TCP,...AP...,0,0,7,448,9,584,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.096,   43.382,  242.104,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:40,2021-01-31 15:26:40,0.000,fe80::14f7:20ff:fecc:e19a,fe80::1097:1027:50e1:ef71,0,34816,ICMP6,........,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:29,2021-01-31 15:26:49,20.039,34.203.91.157,10.0.0.182,443,51449,TCP,...AP...,0,0,6,360,7,450,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    2.984,   36.980, 9999.632,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
2021-01-31 15:26:27,2021-01-31 15:26:51,24.268,fe80::14f7:20ff:fecc:e19a,ff02::1,0,34304,ICMP6,........,0,0,9,1080,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,0,1969-12-31 18:00:00.000
